Image,CD11c (Opal 520): Mean
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.1938
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.2427
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.0437
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",5.3274
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",5.7796
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.0485
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.0981
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.4064
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.4532
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.243
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.4332
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.5041
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.5172
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.7277
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.1533
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.0906
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.5698
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.692
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",5.9199
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.1717
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.6116
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.7036
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.2668
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.2193
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.1898
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.4174
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.5108
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.9749
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.1538
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.5433
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.0685
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.5354
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.4082
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.2069
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.7603
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.2391
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.1965
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",8.7139
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.4003
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.4403
